leadgen-runtime-v25.spec.ts	PRESENT	6	0	0	0
leadgen-runtime.spec.ts	PRESENT	3	0	0	0
leadgen-section-builder.spec.ts	PRESENT	9	0	0	0
leadgen-section-studio.spec.ts	PRESENT	21	0	0	0
leadgen-studio-patterns.spec.ts	PRESENT	19	0	0	0
leadgen-theme-manager.spec.ts	PRESENT	11	0	0	0
leadgen-u11u12-move-chromium-attempt.spec.ts	PRESENT	1	0	0	0
leadgen-u11u12-move.gesture.spec.ts	PRESENT	12	0	0	0
leadgen-v31-gate1c-baselines.spec.ts	PRESENT	0	1	0	1
leadgen-v31-gate4-behavior.spec.ts	PRESENT	3	0	0	0
leadgen-visual.spec.ts	PRESENT	8	2	0	1
listicles-analytics-mirror.spec.ts	PRESENT	2	0	0	0
listicles-articles.spec.ts	PRESENT	6	0	0	0
listicles-manual-qa.spec.ts	PRESENT	11	0	0	0
listicles-offers.spec.ts	PRESENT	4	0	0	0
listicles-perf-regression.spec.ts	PRESENT	4	0	0	0
listicles-render.spec.ts	PRESENT	7	0	0	0
listicles-sections.spec.ts	PRESENT	5	0	0	0
listicles-tracking.spec.ts	PRESENT	5	0	0	0
listicles-visual.spec.ts	PRESENT	5	0	0	0
r0a-drag-spike.spec.ts	PRESENT	1	0	0	0
